code	name	price	type	ref	cs
2001	Шапка Катюша	10590	99	http://shapka-moda.ru/images/product/s/11117476fb.jpg	9C8041938F30A79BC842FF5BDD3F2618
2002	Шапка Катюша	10590	99	http://shapka-moda.ru/images/product/s/111188f8e4.jpg	4BC72526BFFD6A38D011BE2B5ACA8714
2003	Шапка Катюша	10590	99	http://shapka-moda.ru/images/product/s/1111916f55.jpg	46D52EFEE1A07CE6EC9BBB2C6FFFEBC9
2004	Шапка Катюша	9390	99	http://shapka-moda.ru/images/product/s/111206f48b.jpg	C020DADE834A6A83555BF803CAC480E3
2005	Шапка Катюша	9390	99	http://shapka-moda.ru/images/product/s/111212906e.jpg	6DF4AE6F2088BE6C2B932DD3C5C72B31
2011	Шапка Кубанка-бант	10490	99	http://shapka-moda.ru/images/product/s/111277aa2b.jpg	9057F719D4EF22B2B2F28848CDCB8CF6
2006	Шапка Пчелка	9390	99	http://shapka-moda.ru/images/product/s/1112288f64.jpg	78704B25A211EAD3025CB92F9E147687
2007	Шапка Пчелка	9390	99	http://shapka-moda.ru/images/product/s/11123551d3.jpg	A9713537C267FFBB0050E47C176EE61A
2008	Шапка Пчелка	9390	99	http://shapka-moda.ru/images/product/s/11124b5afe.jpg	3469AA849CDA6B68439855664F4897B8
2009	Шапка Пчелка	9390	99	http://shapka-moda.ru/images/product/s/11125a963f.jpg	728BD709F8D71ACAA8CA189588A72F52
2010	Шапка Пчелка	9090	99	http://shapka-moda.ru/images/product/s/11126497cc.jpg	393E4E0CFDC18081E9E2787762A40606
2012	Шапка Кубанка-бант	10490	99	http://shapka-moda.ru/images/product/s/11128a17d4.jpg	321C5F19A87E6FB6FE4923795CB29A84
2013	Шапка Кубанка-бант	10090	99	http://shapka-moda.ru/images/product/s/11129a916a.jpg	B295FAAA474EFA620F8C527B161BBBD9
2014	Шапка Кубанка-бант	10090	99	http://shapka-moda.ru/images/product/s/111309aa5d.jpg	C7A9CBCD1869EABE225793A2CA77739D
2015	Шапка Кубанка-бант	10090	99	http://shapka-moda.ru/images/product/s/11131bd96f.jpg	B6EC9C6D551DFD92069F0449D62383FC
2016	Шапка Кубанка-бант	9090	99	http://shapka-moda.ru/images/product/s/11132dd9f7.jpg	782F310F66C90DE5E2E96BB30F9B3071
2017	Шапка Хлоя	10490	99	http://shapka-moda.ru/images/product/s/11133d2ff7.jpg	0C387056F73D6CECA95B2DC8483E8872
2018	Шапка Хлоя	10490	99	http://shapka-moda.ru/images/product/s/11134e4cf1.jpg	FC80F3CEA730A55A0E88657DFBDAF9AE
2019	Шапка Хлоя	9390	99	http://shapka-moda.ru/images/product/s/11135ba658.jpg	178F7CA61F5AD4A61C6FB296AD2082AF
2020	Шапка Хлоя	9390	99	http://shapka-moda.ru/images/product/s/11136473eb.jpg	F25E2B1AB236048A28490D47763770BC
2021	Шапка Хлоя	9390	99	http://shapka-moda.ru/images/product/s/11137d5685.jpg	29C3DFCAC40904FDA3E6C8FD05D22669
2022	Шапка Берет объемный	9790	99	http://shapka-moda.ru/images/product/s/11138b8bed.jpg	2110A6AAA4762F060C7EB67D842F0D47
2023	Шапка Берет объемный	9790	99	http://shapka-moda.ru/images/product/s/1113904765.jpg	C8638332F89388C81D70F830B8B714B4
2024	Шапка Берет объемный	9790	99	http://shapka-moda.ru/images/product/s/111408df8c.jpg	67B9E4564DF3AE329AB0B5516BFA3191
2025	Шапка Берет объемный	9790	99	http://shapka-moda.ru/images/product/s/1114173092.jpg	937782E2C1E571C38293D9C49B60BBF4
2026	Шапка Берет объемный	9090	99	http://shapka-moda.ru/images/product/s/111429ef9a.jpg	4FE356FC64C8B2D9C97F6A6F6DFD196E
2027	Шапка Берет объемный	9090	99	http://shapka-moda.ru/images/product/s/111434029b.jpg	6F6D13328BD09A3C703DE0EFEF11958C
2028	Шапка Зара	9390	99	http://shapka-moda.ru/images/product/s/11144be02e.jpg	8B7A330C9CB9412C53E8964C4B8020BB
